run_id	corpus	arm	code_lines	exon_share	decisions	claims	links	silent	misaligned
2025-11-12T09-30-16+0000	ai	ai	349	0.476	23	87	81	3	0
2025-11-12T09-52-44+0000	ai	ai	395	0.430	23	79	48	2	0
2025-11-12T10-05-42+0000	ai	ai	379	0.256	18	82	53	1	1
2025-11-12T10-39-00+0000	ai	ai	301	0.345	17	107	33	2	0
2025-11-12T11-24-34+0000	ai	ai	316	0.269	18	113	65	0	0
2025-11-12T12-24-45+0000	ai	ai	303	0.512	15	118	56	2	0
2025-11-12T12-54-24+0000	ai	ai	350	0.466	22	136	74	1	0
2025-11-12T13-06-46+0000	ai	ai	369	0.260	14	113	47	0	0
2025-11-12T13-46-32+0000	ai	negative	519	0.347	18	160	62	2	0
2025-11-12T17-10-55+0000	ai	ai	365	0.479	21	111	78	0	0
2025-11-12T17-30-15+0000	ai	ai	81	0.494	16	91	38	3	0
2025-11-12T18-01-53+0000	ai	ai	320	0.375	19	109	80	1	0
2025-11-12T18-56-42+0000	ai	standard	224	0.397	15	146	42	3	0
2025-11-12T19-55-38+0000	ai	ai	444	0.378	20	95	61	3	0
2025-11-12T20-35-40+0000	ai	ai	430	0.454	23	96	63	0	1
2025-11-12T21-15-40+0000	ai	ai	272	0.342	17	82	53	1	0
2025-11-12T22-11-51+0000	ai	standard	318	0.443	20	82	68	0	0
2025-11-12T22-55-33+0000	ai	standard	300	0.390	18	66	40	2	1
2025-11-13T00-05-19+0000	ai	standard	367	0.357	20	66	43	1	2
2025-11-14T21-21-29+0000	ai	standard	366	0.377	15	84	53	0	0
2025-11-14T22-05-46+0000	ai	standard	315	0.397	20	114	56	1	3
2025-11-15T01-08-22+0000	ai	standard	449	0.385	20	125	78	1	0
2025-11-15T02-22-25+0000	ai	standard	391	0.223	25	84	53	4	0
2025-11-15T15-03-11+0000	ai	ai	396	0.263	18	108	62	2	0
2025-11-15T15-38-19+0000	ai	positive	327	0.498	14	122	85	1	0
2025-11-15T17-13-29+0000	ai	ai	417	0.357	19	64	37	5	0
2025-11-15T18-59-03+0000	ai	ai	344	0.233	15	117	74	1	0
2025-11-15T20-23-37+0000	ai	positive	419	0.246	17	75	43	1	0
2025-11-15T22-00-27+0000	ai	negative	388	0.152	16	94	53	1	0
2025-11-15T23-57-58+0000	ai	negative	399	0.301	23	120	56	2	0
2025-11-16T00-54-53+0000	ai	negative	293	0.287	19	107	64	0	0
2025-11-16T02-42-50+0000	ai	negative	365	0.343	15	91	47	0	0
2025-11-16T04-53-17+0000	ai	negative	253	0.545	18	122	61	1	1
2025-11-16T07-53-05+0000	ai	ai	426	0.441	21	88	57	3	0
2025-11-16T09-53-00+0000	ai	ai	298	0.369	17	90	71	0	0
2025-11-16T11-59-47+0000	ai	ai	591	0.376	20	110	44	3	0
2025-11-16T17-04-39+0000	ai	ai	406	0.369	19	88	55	0	0
2025-11-16T18-27-13+0000	ai	ai	266	0.455	18	75	56	0	1
2025-11-16T21-46-30+0000	ai	ai	403	0.387	17	72	45	2	0
2025-11-16T23-15-36+0000	ai	ai	419	0.377	15	91	49	1	0
2025-11-17T01-20-10+0000	ai	ai	440	0.416	30	116	101	7	2
2025-11-17T03-01-51+0000	ai	ai	402	0.512	22	140	72	2	0
2025-11-17T05-02-45+0000	ai	ai	434	0.447	21	94	66	2	1
2025-11-17T14-46-19+0000	ai	standard	310	0.348	16	87	46	2	3
2025-11-17T15-56-59+0000	ai	standard	324	0.253	18	133	79	2	0
2025-11-17T16-55-57+0000	ai	standard	298	0.396	16	74	36	1	1
2025-11-17T18-58-32+0000	ai	standard	344	0.320	15	88	35	2	0
2025-11-17T20-22-41+0000	ai	standard	286	0.371	22	149	89	2	0
2025-11-17T21-31-42+0000	ai	standard	344	0.451	20	86	54	1	0
2025-11-17T23-27-27+0000	ai	standard	352	0.324	20	89	48	-1	0
2025-11-18T01-05-44+0000	ai	standard	357	0.218	14	73	47	1	0
2025-11-18T02-52-55+0000	ai	standard	309	0.411	16	133	46	0	0
2025-11-18T04-16-31+0000	ai	standard	334	0.395	22	117	67	0	0
2025-11-19T03-21-59+0000	ai	ai	317	0.420	16	124	76	0	0
2025-11-19T04-30-13+0000	ai	ai	380	0.200	18	135	73	2	1
2025-11-19T05-56-22+0000	ai	ai	362	0.403	16	97	69	2	0
2025-11-19T07-38-28+0000	ai	positive	412	0.286	20	88	62	3	1
2025-11-19T09-10-20+0000	ai	positive	339	0.378	15	125	81	0	0
2025-11-19T10-27-52+0000	ai	positive	466	0.305	17	78	52	3	0
2025-11-19T11-29-03+0000	ai	positive	218	0.518	17	100	58	3	0
2025-11-19T13-48-49+0000	ai	positive	309	0.405	21	132	74	2	0
2025-11-19T14-47-53+0000	ai	positive	368	0.429	14	89	43	1	2
2025-11-19T16-04-43+0000	ai	positive	270	0.278	12	134	74	0	0
2025-11-19T17-56-42+0000	ai	negative	274	0.449	22	87	49	4	0
2025-11-19T19-09-24+0000	ai	negative	392	0.388	15	141	66	2	0
2025-11-19T20-38-58+0000	ai	negative	312	0.224	16	112	62	1	0
2025-11-19T22-14-21+0000	ai	negative	401	0.392	16	94	64	1	0
