a,ami,ari,b,kind,matched,parent
A1,0.8515,0.7387,A2,within,,A
A1,0.7703,0.5454,A3,within,,A
A1,0.7447,0.5087,A4,within,,A
A1,0.7876,0.6575,A5,within,,A
A2,0.7921,0.6147,A3,within,,A
A2,0.7636,0.5994,A4,within,,A
A2,0.7879,0.6086,A5,within,,A
A3,0.7311,0.5796,A4,within,,A
A3,0.7994,0.6057,A5,within,,A
A4,0.7419,0.4958,A5,within,,A
B1,0.7709,0.5893,B2,within,,B
B1,0.818,0.6658,B3,within,,B
B1,0.8027,0.6318,B4,within,,B
B1,0.8359,0.6668,B5,within,,B
B2,0.7858,0.5901,B3,within,,B
B2,0.8093,0.6611,B4,within,,B
B2,0.7679,0.5551,B5,within,,B
B3,0.8339,0.7073,B4,within,,B
B3,0.8094,0.6173,B5,within,,B
B4,0.8194,0.6735,B5,within,,B
A1,0.4253,0.3155,B1,between,540,AxB
A1,0.428,0.321,B2,between,540,AxB
A1,0.4578,0.3886,B3,between,540,AxB
A1,0.4338,0.3235,B4,between,540,AxB
A1,0.4455,0.3285,B5,between,540,AxB
A2,0.4334,0.3531,B1,between,540,AxB
A2,0.4254,0.3167,B2,between,540,AxB
A2,0.4593,0.4194,B3,between,540,AxB
A2,0.4366,0.3492,B4,between,540,AxB
A2,0.439,0.3413,B5,between,540,AxB
A3,0.4301,0.3488,B1,between,540,AxB
A3,0.3987,0.2833,B2,between,540,AxB
A3,0.4422,0.4076,B3,between,540,AxB
A3,0.4094,0.3392,B4,between,540,AxB
A3,0.4221,0.3267,B5,between,540,AxB
A4,0.4183,0.322,B1,between,540,AxB
A4,0.3969,0.2874,B2,between,540,AxB
A4,0.4317,0.3635,B3,between,540,AxB
A4,0.3997,0.3194,B4,between,540,AxB
A4,0.4012,0.302,B5,between,540,AxB
A5,0.4226,0.3049,B1,between,540,AxB
A5,0.4071,0.2906,B2,between,540,AxB
A5,0.4512,0.3837,B3,between,540,AxB
A5,0.4177,0.3072,B4,between,540,AxB
A5,0.4246,0.3058,B5,between,540,AxB
